ach,com,dpa_descan,dpa_despar,dpa_despro,eac,fen,frm,nam,objectid,plz,rgm,sol,tipo_mineral,tmm,ttm
40,RECREO A,LA TRONCAL,LA TRONCAL,CAÑAR,INSCRITA,1275368400000,EXPLORACION-EXPLOTACION,101822,91,60,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA,CADME CARDENAS ANGEL GUSTAVO
15,CURUNCAY,SIGSIG,SIGSIG,AZUAY,INSCRITA,1276837200000,EXPLORACION-EXPLOTACION,101823,92,360,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,ORELLANA PIEDRA VICTOR BENIGNO
23,REINA DEL CISNE,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1275368400000,EXPLORACION-EXPLOTACION,101846,95,36,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA,SIGUENZA PICON JULIO CESAR
150,CRISTINA,LIMON INDANZA,SANTA SUSANA DE CHIVIAZA (CAB. EN CHIVIAZA),MORONA SANTIAGO,INSCRITA,1001480400000,EXPLOTACION,101847,96,256,REGIMEN GENERAL,CONCESION MINERA,NO METALICO,SILICE, AYANGASA CIA.LTDA.
18,ESCORPION 1,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1276146000000,EXPLORACION-EXPLOTACION,101848,97,256,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,LOJA RAMON LUZ AMADA
43,SANCHEZ,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1274763600000,EXPLORACION-EXPLOTACION,101849,98,360,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,HEREDIA MARIANO
20,JUNIOR 1,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1276837200000,EXPLORACION-EXPLOTACION,101850,99,36,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,TOLEDO CARDENAS GLADIS RUFINA
44,MINA LA HORTENCIA,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1274850000000,EXPLOTACION,101855,100,360,REGIMEN GENERAL,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,OCHOA MORALES GUILLERMO IGNACIO
75,MARATHON,PAUTE,CHICAN (GUILLERMO ORTEGA),AZUAY,INSCRITA,1276059600000,EXPLORACION-EXPLOTACION,101857,101,360,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO, PLANTACIONES MALIMA CIA. LTDA.
130,EL PESCADO,LIMON INDANZA,SANTA SUSANA DE CHIVIAZA (CAB. EN CHIVIAZA),MORONA SANTIAGO,INSCRITA,1017723600000,EXPLORACION-EXPLOTACION,101864,102,262,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,SILICE, FUENLABRADA CIA. LTDA.
21,LA HIGUERA,PAUTE,CHICAN (GUILLERMO ORTEGA),AZUAY,INSCRITA,1273122000000,EXPLORACION-EXPLOTACION,101883,103,256,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA,CORDERO MOSCOSO JUAN MANUEL
48,LAS JUNTAS,PAUTE,GUARAINAG,AZUAY,INSCRITA,1277096400000,EXPLORACION INICIAL,101898,104,258,REGIMEN GENERAL,CONCESION MINERA,NO METALICO,ARCILLA, SUCESION INDIVISA DE LOS HEREDEROS DE RUBEN VIRGILIO CABRERA MEDINA
